timestampx,vv1m,dv1m,vmax1m,dmax1m,ta,hr,pres,prec1m,inso,vis
2022-03-01 00:00:00,14.3,356,16.8,4,3.3,54,771.1,0.0,0.0,20000.0
2022-03-01 00:01:00,12.5,351,15.3,353,3.3,53,771.2,0.0,,
2022-03-01 00:02:00,13.7,358,17.5,357,3.2,54,771.1,0.0,,
2022-03-01 00:03:00,12.3,353,14.7,354,3.3,56,771.2,0.0,,
2022-03-01 00:04:00,12.9,353,15.0,353,3.3,56,771.2,0.0,,
2022-03-01 00:05:00,11.0,350,13.7,349,3.1,56,771.2,0.0,,
2022-03-01 00:06:00,10.1,350,11.8,343,2.9,57,771.3,0.0,,
2022-03-01 00:07:00,10.8,353,14.3,355,2.8,57,771.3,0.0,,
2022-03-01 00:08:00,11.8,358,14.8,350,2.9,56,771.3,0.0,,
2022-03-01 00:09:00,12.1,357,14.5,6,3.0,57,771.3,0.0,,
2022-03-01 00:10:00,11.5,351,13.2,356,2.9,58,771.2,0.0,0.0,20000.0
2022-03-01 00:11:00,13.0,360,16.5,1,2.9,58,771.2,0.0,,
2022-03-01 00:12:00,12.6,360,14.5,7,3.0,57,771.3,0.0,,
2022-03-01 00:13:00,10.3,359,13.0,358,3.0,56,771.2,0.0,,
2022-03-01 00:14:00,11.3,4,14.3,6,3.1,55,771.2,0.0,,
2022-03-01 00:15:00,10.9,356,14.1,338,3.2,55,771.2,0.0,,
2022-03-01 00:16:00,11.5,346,14.0,349,3.0,56,771.2,0.0,,
2022-03-01 00:17:00,13.7,360,17.0,0,3.0,55,771.1,0.0,,
2022-03-01 00:18:00,13.3,359,16.7,356,3.0,55,771.2,0.0,,
2022-03-01 00:19:00,11.9,355,14.3,345,3.1,54,771.3,0.0,,
2022-03-01 00:20:00,11.9,3,14.6,356,3.1,55,771.2,0.0,0.0,20000.0
2022-03-01 00:21:00,11.2,356,13.3,359,3.1,56,771.1,0.0,,
2022-03-01 00:22:00,10.8,356,13.5,354,3.0,54,771.2,0.0,,
