,Date,Ranking,quantiles
26,2022-05-27,58.063643951245425,0.013888888888888888
25,2022-05-26,107.54620189467815,0.027777777777777776
21,2022-04-23,157.12467391731707,0.041666666666666664
10,2022-06-11,176.39504249142732,0.05555555555555555
1,2022-04-03,215.9072642063304,0.06944444444444445
13,2022-04-15,228.60516201690416,0.08333333333333333
12,2022-04-14,251.31474909734652,0.09722222222222222
9,2022-06-10,256.0739335445535,0.1111111111111111
18,2022-06-19,271.9511692337975,0.125
19,2022-04-21,274.6507000225792,0.1388888888888889
0,2022-06-01,305.4359243037041,0.1527777777777778
19,2022-05-20,328.7630436461501,0.16666666666666666
20,2022-04-22,347.16683444504895,0.18055555555555555
10,2022-04-12,347.46752741498034,0.19444444444444445
8,2022-06-09,355.6337719277546,0.20833333333333334
17,2022-05-18,366.03388576671676,0.2222222222222222
17,2022-04-19,367.22116625395626,0.2361111111111111
20,2022-06-21,402.6395791741486,0.25
14,2022-05-15,408.040795306812,0.2638888888888889
10,2022-05-11,417.7840788632071,0.2777777777777778
25,2022-04-27,426.40660419716664,0.2916666666666667
24,2022-04-26,433.25901729075343,0.3055555555555556
16,2022-05-17,436.7858116448353,0.3194444444444444
