,Date,Ranking,quantiles
5,2022-04-07,457.03837383157435,0.3333333333333333
7,2022-06-08,470.07697036732884,0.3472222222222222
15,2022-05-16,473.205094699778,0.3611111111111111
17,2022-06-18,480.02082557947085,0.375
9,2022-04-11,481.49020406907334,0.3888888888888889
18,2022-04-20,493.248396133408,0.4027777777777778
16,2022-06-17,504.6134798632472,0.4166666666666667
22,2022-06-23,525.1593255213359,0.4305555555555556
30,2022-05-31,536.6742378163648,0.4444444444444444
0,2022-05-01,567.876848155005,0.4583333333333333
4,2022-05-05,589.4696708674638,0.4722222222222222
1,2022-06-02,595.7656144181817,0.4861111111111111
28,2022-05-29,607.3490342138015,0.5
4,2022-04-06,617.7045527591692,0.5138888888888888
2,2022-05-03,627.8346798045533,0.5277777777777778
19,2022-06-20,636.1302329627669,0.5416666666666666
6,2022-04-08,638.4007416945691,0.5555555555555556
2,2022-06-03,644.1099906722826,0.5694444444444444
27,2022-05-28,659.954262393765,0.5833333333333334
3,2022-05-04,678.5230531497848,0.5972222222222222
0,2022-04-02,686.3869104626352,0.6111111111111112
14,2022-06-15,688.1665942016407,0.625
29,2022-05-30,707.9413133644862,0.6388888888888888
14,2022-04-16,741.0049028845694,0.6527777777777778
6,2022-06-07,756.538269838665,0.6666666666666666
8,2022-04-10,758.2225677238084,0.6805555555555556
20,2022-05-21,790.6020894173437,0.6944444444444444
12,2022-05-13,813.1427016556036,0.7083333333333334
11,2022-06-12,823.0054872808722,0.7222222222222222
